86.86396103067894
(117,160)
(117,159)
(117,158)
(118,157)
(118,156)
(118,155)
(118,154)
(118,153)
(117,152)
(117,151)
(117,150)
(117,149)
(117,148)
(117,147)
(117,146)
(117,145)
(117,144)
(117,143)
(117,142)
(117,141)
(117,140)
(117,139)
(116,138)
(116,137)
(115,136)
(115,135)
(115,134)
(115,133)
(115,132)
(115,131)
(115,130)
(116,129)
(116,128)
(116,127)
(116,126)
(115,125)
(114,125)
(113,125)
(112,125)
(111,125)
(110,125)
(109,125)
(108,125)
(107,125)
(106,125)
(105,125)
(104,125)
(103,125)
(102,125)
(101,125)
(100,125)
(99,125)
(98,125)
(97,125)
(96,125)
(95,125)
(94,125)
(93,125)
(92,125)
(91,125)
(90,125)
(89,125)
(88,125)
(87,125)
(86,125)
(85,125)
(84,125)
(83,125)
(82,125)
(81,125)
(80,125)
(79,125)
(78,125)
(77,125)
(76,125)
(75,125)
(74,125)
(73,125)
(72,125)
(71,125)
(70,125)
(69,125)
(68,125)
(67,125)
(66,125)
(65,125)
(64,125)
(63,125)
(62,125)
(61,125)
(60,125)
(59,125)
(58,125)
(57,125)
(56,125)
(55,125)
(54,125)
(53,125)
(52,125)
(51,125)
(50,125)
(49,125)
(48,125)
(47,125)
(46,125)
(45,125)
(44,125)
(43,125)
(42,125)
(41,125)
(40,125)
(39,125)
(38,125)
(37,125)
(36,125)
(35,125)
(34,125)
(33,125)
(32,125)
(31,125)
(30,125)
(29,125)
(28,126)
(27,127)
(26,128)
(25,129)
(24,130)
(23,131)
(22,132)
(21,133)
(20,134)
(19,135)
(19,136)
(18,137)
(17,138)
(16,139)
(15,140)
(15,141)
(14,142)
(14,143)
(13,144)
(12,145)
(11,146)
(11,147)
(12,148)
(13,147)
